month_year,maxTemp,minTemp,meanTemp,vapPress,cldCover,precipitation
05/1928,13.9,5.5,9.6,9.8,69.7,43.9
06/1928,15.2,7.1,11.2,10.8,73.7,114.8
07/1928,18.1,10.2,14.1,13.2,74.7,73.7
08/1928,17.7,9.9,13.8,13.2,73.8,111.4
09/1928,15.7,7.7,11.7,11.6,71.9,70.6
10/1928,12.6,6.3,9.5,10.5,79.3,172.1
11/1928,9.7,4.1,6.9,8.7,82,150
12/1928,6.4,1.3,3.8,7.4,86.9,118.4
01/1929,4.3,-0.5,1.9,6.4,87.2,55.9
02/1929,4.2,-1.2,1.5,6.2,80.5,45.6
03/1929,9.2,2.6,5.9,8.1,77.5,18.7
04/1929,9.7,2,5.8,7.6,72.6,44.9
05/1929,14.6,5.7,10.1,9.8,66,73.1
06/1929,16,7.7,11.8,11.3,72.5,67.5
07/1929,18.7,10.1,14.4,13.3,71.3,83.1
08/1929,17.8,10,13.9,13.3,73.5,120.8
09/1929,17.7,9.7,13.7,13,71.8,49.8
10/1929,11.9,5.6,8.7,9.9,79.1,164
11/1929,9.1,3.2,6.1,8.6,80.6,190.3
12/1929,7.6,2.4,5,8,86.1,225.3
01/1930,7,1.6,4.3,7.5,84.3,154.7
02/1930,4.4,-0.8,1.8,6.4,82.6,28.2
03/1930,7.8,0.9,4.3,6.9,76.1,82
04/1930,10.8,3.9,7.4,8.6,77.8,67.4
05/1930,13.6,5.9,9.7,9.9,75,57.3
06/1930,18.1,9.2,13.6,12.4,68.7,58
07/1930,17.5,10.6,14.1,13.9,80.1,99.7
08/1930,17.9,10.7,14.3,14.3,76.3,149.4
09/1930,15.9,9.2,12.5,12.8,78.1,127
10/1930,12.4,6.6,9.5,10.6,81.2,154.6
11/1930,8.6,2.4,5.5,7.8,79.8,155
12/1930,6.7,2.1,4.4,7.9,89.2,127.2
01/1931,5.8,0.7,3.2,6.9,86.1,121.1
02/1931,5.9,0.6,3.3,6.7,81.8,107.6
03/1931,6.9,-0.2,3.3,6.4,74.8,36.2
04/1931,10,3.4,6.7,8.3,79.4,85
05/1931,13.7,6.4,10,10.2,77,100.3
06/1931,16,8.7,12.3,11.6,78.7,114.7
07/1931,17.1,10.8,13.9,13.9,82.1,116.2
08/1931,16.8,9.8,13.3,13.1,79.2,94.4
09/1931,14.3,7.8,11,11.7,79.2,72
10/1931,12.2,5.2,8.7,9.8,75.5,76.3
11/1931,9.9,4.9,7.4,9.6,84.8,171.2
12/1931,7.9,3.2,5.5,8.3,89.1,88.3
01/1932,8.6,3.2,5.9,8.2,84.8,140.2
02/1932,6.5,1,3.7,7.4,81,11.1
03/1932,8,1,4.5,7.2,75.1,79.8
04/1932,9.3,2.4,5.8,7.8,78,103.1
05/1932,12.8,5.9,9.3,9.9,80.7,100.9
06/1932,17.1,8.8,12.9,12,72.1,38.2
07/1932,18,11.2,14.6,14.2,79.9,117.1
08/1932,18.9,11.4,15.1,14.4,75.7,63.2
09/1932,15.5,8.6,12,12,77.3,119
10/1932,11.2,5,8.1,9.5,79.9,192.6
11/1932,8.7,3.6,6.1,8.5,84.7,94.5
12/1932,7.8,3,5.3,8.1,88.8,113.8
01/1933,5.2,0,2.6,7,85.1,101.9
02/1933,6.2,0.7,3.4,6.8,81,114
